id	value	region	incomeLevel
MNA	Middle East & North Africa (excluding high income)		
MNE	Montenegro	ECS	UMC
MNG	Mongolia	EAS	UMC
MNP	Northern Mariana Islands	EAS	HIC
MOZ	Mozambique	SSF	LIC
MRT	Mauritania	SSF	LMC
MUS	Mauritius	SSF	UMC
MWI	Malawi	SSF	LIC
MYS	Malaysia	EAS	UMC
NAC	North America		
NAM	Namibia	SSF	UMC
NCL	New Caledonia	EAS	HIC
NER	Niger	SSF	LIC
NGA	Nigeria	SSF	LMC
NIC	Nicaragua	LCN	LMC
NLD	Netherlands	ECS	HIC
NOR	Norway	ECS	HIC
NPL	Nepal	SAS	LMC
NRU	Nauru	EAS	HIC
NZL	New Zealand	EAS	HIC
OED	OECD members		
OMN	Oman	MEA	HIC
OSS	Other small states		
PAK	Pakistan	SAS	LMC
PAN	Panama	LCN	HIC
PER	Peru	LCN	UMC
PHL	Philippines	EAS	LMC
PLW	Palau	EAS	HIC
PNG	Papua New Guinea	EAS	LMC
POL	Poland	ECS	HIC
PRE	Pre-demographic dividend		
PRI	Puerto Rico	LCN	HIC
PRK	Korea, Dem. People's Rep.	EAS	LIC
PRT	Portugal	ECS	HIC
PRY	Paraguay	LCN	UMC
PSE	West Bank and Gaza	MEA	LMC
PSS	Pacific island small states		
PST	Post-demographic dividend		
PYF	French Polynesia	EAS	HIC
QAT	Qatar	MEA	HIC
ROU	Romania	ECS	HIC
RUS	Russian Federation	ECS	HIC
RWA	Rwanda	SSF	LIC
SAS	South Asia		
SAU	Saudi Arabia	MEA	HIC
SDN	Sudan	SSF	LIC
SEN	Senegal	SSF	LMC
SGP	Singapore	EAS	HIC
SLB	Solomon Islands	EAS	LMC
SLE	Sierra Leone	SSF	LIC
SLV	El Salvador	LCN	UMC
SMR	San Marino	ECS	HIC
SOM	Somalia	SSF	LIC
SRB	Serbia	ECS	UMC
SSA	Sub-Saharan Africa (excluding high income)		
SSD	South Sudan	SSF	LIC
SSF	Sub-Saharan Africa		
SST	Small states		
STP	Sao Tome and Principe	SSF	LMC
SUR	Suriname	LCN	UMC
SVK	Slovak Republic	ECS	HIC
SVN	Slovenia	ECS	HIC
SWE	Sweden	ECS	HIC
SWZ	Eswatini	SSF	LMC
SXM	Sint Maarten (Dutch part)	LCN	HIC
SYC	Seychelles	SSF	HIC
SYR	Syrian Arab Republic	MEA	LIC
TCA	Turks and Caicos Islands	LCN	HIC
TCD	Chad	SSF	LIC
TEA	East Asia & Pacific (IDA & IBRD countries)		
TEC	Europe & Central Asia (IDA & IBRD countries)		
TGO	Togo	SSF	LIC
THA	Thailand	EAS	UMC
TJK	Tajikistan	ECS	LMC
TKM	Turkmenistan	ECS	UMC
TLA	Latin America & the Caribbean (IDA & IBRD countries)		
TLS	Timor-Leste	EAS	LMC
TMN	Middle East & North Africa (IDA & IBRD countries)		
TON	Tonga	EAS	UMC
TSA	South Asia (IDA & IBRD)		
TSS	Sub-Saharan Africa (IDA & IBRD countries)		
TTO	Trinidad and Tobago	LCN	HIC
TUN	Tunisia	MEA	LMC
TUR	Turkiye	ECS	UMC
TUV	Tuvalu	EAS	UMC
TZA	Tanzania	SSF	LMC
UGA	Uganda	SSF	LIC
UKR	Ukraine	ECS	UMC
UMC	Upper middle income		
URY	Uruguay	LCN	HIC
USA	United States	NAC	HIC
UZB	Uzbekistan	ECS	LMC
VCT	St. Vincent and the Grenadines	LCN	UMC
VEN	Venezuela, RB	LCN	INX
VGB	British Virgin Islands	LCN	HIC
VIR	Virgin Islands (U.S.)	LCN	HIC
VNM	Viet Nam	EAS	LMC
VUT	Vanuatu	EAS	LMC
WLD	World		
WSM	Samoa	EAS	LMC
XKX	Kosovo	ECS	UMC
YEM	Yemen, Rep.	MEA	LIC
ZAF	South Africa	SSF	UMC
ZMB	Zambia	SSF	LMC
ZWE	Zimbabwe	SSF	LMC
	266 elements		
